"Server Name","User ID","Session ID","Client Name","Hour"
"VSVAASRYXEN2773","VAA\a311093","2","n/a","14"
"VSVAASRYXEN2773","VAA\anegis","3","n/a","14"
"VSVAASRYXEN2773","VAA\a034934","5","n/a","14"
"SVAAODCWTS128","VAA\317298","7","DELGG708VAA116","14"
"SVAAODCWTS128","VAA\309704","8","BOMWVIR0025649","14"
"SVAAODCWTS128","VAA\309902","5","BOMWRRG0025726","14"
"SVAAODCWTS128","VAA\309629","3","PNQWVAA0024884","14"
"SVAAODCWTS128","VAA\309668","4","BOMWVIR0025596","14"
"SVAAODCWTS128","VAA\309902","1","BOMWRRG0025726","14"
"SVAAODCWTS128","VAA\315207","10","01HW290961","14"
"SVAAODCWTS128","VAA\315218","12","BOMWVA00001680","14"
"SVAAODCWTS128","VAA\309768","13","BOMWVIR0025648","14"
"SVAAODCWTS128","VAA\315530","9","BOMWVA00001677","14"
"SVAAODCWTS128","VAA\309748","14","BOMWVIR0025655","14"
"SVAAODCWTS128","VAA\316947","2","DELGG707VAA093","14"
"SVAAODCWTS128","VAA\310816","6","DELGG707VAA002","14"
"SVAARTWWTS176","VAA\309704","14","BOMWVIR0025649","14"
"SVAARTWWTS176","VAA\309735","17","BOMWVIR0025665","14"
"SVAARTWWTS176","VAA\413234","2","L5CG6313FS9","14"
"SVAARTWWTS176","VAA\022103","4","L5CG6373V6Z","14"
"SVAARTWWTS176","VAA\309372","5","GBMAN2SPWS0050","14"
"SVAARTWWTS176","VAA\037973","13","L2R3CA01","14"
"SVAARTWWTS176","VAA\516763","1","L5CG7516MSB","14"
"SVAARTWWTS176","VAA\309750","7","BOMWVIR0025700","14"
"SVAARTWWTS176","VAA\309768","9","BOMWVIR0025648","14"
"SVAARTWWTS176","VAA\412545","15","L2R3DL01","14"
"SVAARTWWTS176","VAA\309705","3","BOMWVIR0025632","14"
"SVAARTWWTS197","VAA\A311022","0","VSVAASRYWTS2787","14"
"SVAARTWWTS197","VAA\311025","12","DELGG707VAA045","14"
"SVAARTWWTS197","VAA\311035","20","DELGG707VAA098","14"
"SVAARTWWTS197","VAA\315758","24","DELGG708VAA076","14"
"SVAARTWWTS197","VAA\310316","3","DELGG707VAA096","14"
"SVAARTWWTS197","VAA\310335","1","DELGG707VAA018","14"
"SVAARTWWTS197","VAA\316118","15","DELGG707VAA060","14"
"SVAARTWWTS197","VAA\316160","9","DELGG708VAA068","14"
"SVAARTWWTS197","VAA\310336","21","DELGG707VAA031","14"
"SVAARTWWTS197","VAA\310959","26","DELGG707VAA005","14"
"SVAARTWWTS197","VAA\310836","23","DELGG707VAA023","14"
"SVAARTWWTS197","VAA\310932","27","01HW834203","14"
"SVAARTWWTS197","VAA\310319","7","DELGG707VAA077","14"
"SVAARTWWTS197","VAA\311012","4","DELGG708VAA058","14"
"SVAARTWWTS197","VAA\317255","13","DELGG707VAA004","14"
"SVAARTWWTS197","VAA\316903","5","01HW1092701","14"
"SVAARTWWTS197","VAA\317427","6","DELGG708VAA018","14"
"SVAAODCWTS1544","VAA\310903","36","DELGG708VAA181","14"
"SVAAODCWTS1544","VAA\311066","3","DELGG708VAA112","14"
"SVAAODCWTS1544","VAA\315599","47","DELGG707VAA039","14"
"SVAAODCWTS1544","VAA\310868","45","01HW893412","14"
"SVAAODCWTS1544","VAA\315796","54","DELGG708VAA012","14"
"SVAAODCWTS1544","VAA\315752","42","DELGG708VAA059","14"
"SVAAODCWTS1544","VAA\317031","20","BOMWVIR0025682","14"
"SVAAODCWTS1544","VAA\315223","22","DELGG707VAA038","14"
"SVAAODCWTS1544","VAA\309629","43","PNQWVAA0024884","14"
"SVAAODCWTS1544","VAA\315610","37","DELGG707VAA022","14"
"SVAAODCWTS1544","VAA\309645","14","BOMWVIR0025713","14"
"SVAAODCWTS1544","VAA\309562","18","BOMWVIR0025688","14"
"SVAAODCWTS1544","VAA\310933","12","DELGG707VA007","14"
"SVAAODCWTS1544","VAA\310336","39","DELGG707VAA031","14"
"SVAAODCWTS1544","VAA\310935","40","DELGG708VAA176","14"
"SVAAODCWTS1544","VAA\310907","41","DELGG708VAA180","14"
"SVAAODCWTS1544","VAA\310847","27","01HW1138289","14"
"SVAAODCWTS1544","VAA\310924","55","DELGG707VAA050","14"
"SVAAODCWTS1544","VAA\316315","56","DELGG707VAA057","14"
"SVAAODCWTS1544","VAA\317128","8","DELGG708VAA017","14"
"SVAAODCWTS1544","VAA\310923","24","01HW834362","14"
"SVAAODCWTS1544","VAA\310322","19","DELGG707VAA074","14"
"SVAAODCWTS1544","VAA\311012","16","DELGG708VAA058","14"
"SVAAODCWTS1544","VAA\310316","33","DELGG707VAA096","14"
"SVAAODCWTS1544","VAA\311003","34","01HW834284","14"
"SVAAODCWTS1544","VAA\309723","29","BOMWVIR0025656","14"
"SVAAODCWTS1544","VAA\311023","38","01HW830590","14"
"SVAAODCWTS1544","VAA\316117","5","DELGG707VAA033","14"
"SVAAODCWTS1544","VAA\316629","23","DELGG707VAA097","14"
"SVAARTWWTS198","VAA\070053ctx","2","DCZC0066X7S","14"
"SVAARTWWTS177","VAA\309670","8","BOMWVIR0025699","14"
"SVAARTWWTS177","VAA\309694","1","BOMWVIR0025567","14"
"SVAARTWWTS177","VAA\316997","7","DELGG707VAA013","14"
"SVAARTWWTS177","VAA\310855","11","DELGG707VAA011","14"
"SVAARTWWTS177","VAA\317406","4","DELGG707VA010","14"
"SVAARTWWTS177","VAA\315796","12","DELGG708VAA012","14"
"SVAARTWWTS177","VAA\316632","5","LCNU428D62L","14"
"SVAARTWWTS177","VAA\316632","13","LCNU428D62L","14"
"SVAARTWWTS177","VAA\310868","14","01HW893412","14"
"SVAARTWWTS177","VAA\317010","16","DELGG707VAA116","14"
"SVAARTWWTS177","VAA\317249","3","DELGG708VAA114","14"
"SVAARTWWTS177","VAA\310816","9","DELGG707VAA002","14"
"SVAARTWWTS177","VAA\316947","15","DELGG707VAA093","14"
"SVAAODCWTS143","VAA\513263","20","L5CG7516MVC","14"
"SVAAODCWTS143","VAA\309692","13","BOMWVIR0025614","14"
"SVAAODCWTS143","VAA\507923","27","L5CG7433XXJ","14"
"SVAAODCWTS143","VAA\309688","8","BOMWVIR0025686","14"
"SVAAODCWTS143","VAA\315219","12","BOMWVA00001675","14"
"SVAAODCWTS143","VAA\316160","22","DELGG708VAA068","14"
"SVAAODCWTS143","VAA\310860","23","L5CG5161682","14"
"SVAAODCWTS143","VAA\asharms12","24","VSTCSSRYWKS21","14"
"SVAAODCWTS143","VAA\310935","25","DELGG708VAA176","14"
"SVAAODCWTS143","VAA\316956","17","DELGG708VAA080","14"
"SVAAODCWTS143","VAA\316290","26","L5CG6313F4V","14"
"SVAAODCWTS143","VAA\309010","9","PC391614","14"
"SVAAODCWTS125","VAA\443107","13","L5CG54422DY","14"
"SVAAODCWTS125","VAA\412578","17","VSVAASRYWTS2477","14"
"SVAAODCWTS125","VAA\015188","15","VSVAASRYWTS2636","14"
"SVAAODCWTS125","VAA\478148","18","VSVAASRYWTS2477","14"
"SVAAODCWTS125","VAA\070141","19","VSVAASRYWTS2636","14"
"SVAAODCWTS125","VAA\071196","20","DCZC1415MRB","14"
"SVAAODCWTS125","VAA\071131","1","VSVAASRYWTS2608","14"
"SVAAODCWTS125","VAA\071196","2","DCZC1415MRB","14"
"SVAAODCWTS125","VAA\408216","3","VSVAASRYWTS2607","14"
"SVAAODCWTS125","VAA\071106","8","VSVAASRYWTS2477","14"
"SVAAODCWTS125","VAA\512746","9","VSVAASRYWTS2636","14"
"SVAAODCWTS125","VAA\070041","5","VSVAASRYWTS2636","14"
"SVAAODCWTS125","VAA\448388","6","VSVAASRYWTS2477","14"
"SVAAODCWTS125","VAA\070266","10","VSVAASRYWTS2607","14"
"SVAARTWWTS175","VAA\317352","3","DELGG708VAA120","14"
"SVAARTWWTS175","VAA\317298","7","DELGG708VAA116","14"
"SVAARTWWTS175","VAA\315622","10","DELGG708VAA050","14"
"SVAARTWWTS175","VAA\317135","1","DELGG708VAA031","14"
"SVAAODCWTS142","VAA\506945","1","L5CG5161683","14"
"SVAAODCWTS142","VAA\316861","4","BOMWRRG0025729","14"
"SVAAODCWTS142","VAA\317059","7","BOMWVIR0025898","14"
"SVAAODCWTS142","VAA\309562","16","BOMWVIR0025688","14"
"SVAAODCWTS142","VAA\038634","3","L5CG6273VWW","14"
"SVAAODCWTS142","VAA\412780","9","L2R3VS02","14"
"SVAAODCWTS142","VAA\309275","5","CLP04","14"
"SVAAODCWTS142","VAA\317066","2","PNQWVAA0024817","14"
"SVAAODCWTS142","VAA\416596","8","L2R3TD90","14"
"SVAAODCWTS142","VAA\452751","11","L2R3VS05","14"
