"Server Name","User ID","Session ID","Client Name","Hour"
"VSVAASRYXEN2773","VAA\a311093","2","n/a","15"
"VSVAASRYXEN2773","VAA\anegis","3","n/a","15"
"VSVAASRYXEN2773","VAA\a034934","5","n/a","15"
"SVAAODCWTS128","VAA\317298","7","DELGG708VAA116","15"
"SVAAODCWTS128","VAA\309704","8","BOMWVIR0025649","15"
"SVAAODCWTS128","VAA\309629","3","PNQWVAA0024884","15"
"SVAAODCWTS128","VAA\309668","4","BOMWVIR0025596","15"
"SVAAODCWTS128","VAA\315218","12","BOMWVA00001680","15"
"SVAAODCWTS128","VAA\309768","13","BOMWVIR0025648","15"
"SVAAODCWTS128","VAA\315530","9","BOMWVA00001677","15"
"SVAAODCWTS128","VAA\309748","14","BOMWVIR0025655","15"
"SVAAODCWTS128","VAA\316947","2","DELGG707VAA093","15"
"SVAAODCWTS128","VAA\310816","6","DELGG707VAA002","15"
"SVAAODCWTS128","VAA\311047","11","DELGG707VAA105","15"
"SVAAODCWTS128","VAA\311033","1","DELGG707VAA015","15"
"SVAAODCWTS128","VAA\309922","5","BOMWVA00001719","15"
"SVAARTWWTS176","VAA\309704","14","BOMWVIR0025649","15"
"SVAARTWWTS176","VAA\309735","17","BOMWVIR0025665","15"
"SVAARTWWTS176","VAA\413234","2","L5CG6313FS9","15"
"SVAARTWWTS176","VAA\022103","4","L5CG6373V6Z","15"
"SVAARTWWTS176","VAA\309372","5","GBMAN2SPWS0050","15"
"SVAARTWWTS176","VAA\037973","13","L2R3CA01","15"
"SVAARTWWTS176","VAA\516763","1","L5CG7516MSB","15"
"SVAARTWWTS176","VAA\309750","7","BOMWVIR0025700","15"
"SVAARTWWTS176","VAA\309768","9","BOMWVIR0025648","15"
"SVAARTWWTS176","VAA\412545","15","L2R3DL01","15"
"SVAARTWWTS176","VAA\309705","3","BOMWVIR0025632","15"
"SVAARTWWTS176","VAA\309755","6","BOMWVIR0025650","15"
"SVAARTWWTS197","VAA\A311022","0","VSVAASRYWTS2787","15"
"SVAARTWWTS197","VAA\311025","12","DELGG707VAA045","15"
"SVAARTWWTS197","VAA\311035","20","DELGG707VAA098","15"
"SVAARTWWTS197","VAA\315758","24","DELGG708VAA076","15"
"SVAARTWWTS197","VAA\310316","3","DELGG707VAA096","15"
"SVAARTWWTS197","VAA\310335","1","DELGG707VAA018","15"
"SVAARTWWTS197","VAA\316160","9","DELGG708VAA068","15"
"SVAARTWWTS197","VAA\310336","21","DELGG707VAA031","15"
"SVAARTWWTS197","VAA\310932","27","01HW834203","15"
"SVAARTWWTS197","VAA\311012","4","DELGG708VAA058","15"
"SVAARTWWTS197","VAA\317255","13","DELGG707VAA004","15"
"SVAARTWWTS197","VAA\317427","6","DELGG708VAA018","15"
"SVAARTWWTS197","VAA\316903","8","01HW1092701","15"
"SVAARTWWTS197","VAA\315076","5","DELGG708VAA074","15"
"SVAARTWWTS197","VAA\316470","10","DELGG708VAA052","15"
"SVAAODCWTS1544","VAA\310903","36","DELGG708VAA181","15"
"SVAAODCWTS1544","VAA\311066","3","DELGG708VAA112","15"
"SVAAODCWTS1544","VAA\310868","45","01HW893412","15"
"SVAAODCWTS1544","VAA\315796","54","DELGG708VAA012","15"
"SVAAODCWTS1544","VAA\315752","42","DELGG708VAA059","15"
"SVAAODCWTS1544","VAA\317031","20","BOMWVIR0025682","15"
"SVAAODCWTS1544","VAA\315223","22","DELGG707VAA038","15"
"SVAAODCWTS1544","VAA\309629","43","PNQWVAA0024884","15"
"SVAAODCWTS1544","VAA\309645","14","BOMWVIR0025713","15"
"SVAAODCWTS1544","VAA\309562","18","BOMWVIR0025688","15"
"SVAAODCWTS1544","VAA\310933","12","DELGG707VA007","15"
"SVAAODCWTS1544","VAA\310336","39","DELGG707VAA031","15"
"SVAAODCWTS1544","VAA\310935","40","DELGG708VAA176","15"
"SVAAODCWTS1544","VAA\310907","41","DELGG708VAA180","15"
"SVAAODCWTS1544","VAA\317128","8","DELGG708VAA017","15"
"SVAAODCWTS1544","VAA\310923","24","01HW834362","15"
"SVAAODCWTS1544","VAA\311012","16","DELGG708VAA058","15"
"SVAAODCWTS1544","VAA\310316","33","DELGG707VAA096","15"
"SVAAODCWTS1544","VAA\311023","38","01HW830590","15"
"SVAAODCWTS1544","VAA\316117","5","DELGG707VAA033","15"
"SVAAODCWTS1544","VAA\316629","23","DELGG707VAA097","15"
"SVAAODCWTS1544","VAA\309522","21","BOMWVIR0025637","15"
"SVAAODCWTS1544","VAA\310989","32","01HW1145300","15"
"SVAAODCWTS1544","VAA\315843","27","BOMWVIR0025546","15"
"SVAAODCWTS1544","VAA\310839","19","DELGG708VAA083","15"
"SVAAODCWTS1544","VAA\315610","29","DELGG707VAA022","15"
"SVAAODCWTS1544","VAA\316996","31","BOMWVIR0025597","15"
"SVAARTWWTS198","VAA\501964","1","L5CG64635PZ","15"
"SVAARTWWTS198","VAA\491868","3","L5CG7516MZM","15"
"SVAARTWWTS198","VAA\037757","4","L5CG6125WKM","15"
"SVAARTWWTS198","VAA\411792","2","L5CG6125WJ4","15"
"SVAARTWWTS177","VAA\309670","8","BOMWVIR0025699","15"
"SVAARTWWTS177","VAA\309694","1","BOMWVIR0025567","15"
"SVAARTWWTS177","VAA\310855","11","DELGG707VAA011","15"
"SVAARTWWTS177","VAA\315796","12","DELGG708VAA012","15"
"SVAARTWWTS177","VAA\316632","5","LCNU428D62L","15"
"SVAARTWWTS177","VAA\316632","13","LCNU428D62L","15"
"SVAARTWWTS177","VAA\310868","14","01HW893412","15"
"SVAARTWWTS177","VAA\317010","16","DELGG707VAA116","15"
"SVAARTWWTS177","VAA\317249","3","DELGG708VAA114","15"
"SVAARTWWTS177","VAA\316947","15","DELGG707VAA093","15"
"SVAARTWWTS177","VAA\309571","17","BOMWVIR0025594","15"
"SVAARTWWTS177","VAA\315706","4","BOMWVA00001723","15"
"SVAAODCWTS143","VAA\513263","20","L5CG7516MVC","15"
"SVAAODCWTS143","VAA\309692","13","BOMWVIR0025614","15"
"SVAAODCWTS143","VAA\507923","27","L5CG7433XXJ","15"
"SVAAODCWTS143","VAA\309688","8","BOMWVIR0025686","15"
"SVAAODCWTS143","VAA\316160","22","DELGG708VAA068","15"
"SVAAODCWTS143","VAA\310860","23","L5CG5161682","15"
"SVAAODCWTS143","VAA\asharms12","24","VSTCSSRYWKS21","15"
"SVAAODCWTS143","VAA\310935","25","DELGG708VAA176","15"
"SVAAODCWTS143","VAA\316956","17","DELGG708VAA080","15"
"SVAAODCWTS143","VAA\309010","9","PC391614","15"
"SVAAODCWTS143","VAA\310974","15","DELGG708VAA042","15"
"SVAAODCWTS143","VAA\310816","18","DELGG707VAA002","15"
"SVAAODCWTS125","VAA\443107","13","L5CG54422DY","15"
"SVAAODCWTS125","VAA\412578","17","VSVAASRYWTS2477","15"
"SVAAODCWTS125","VAA\478148","18","VSVAASRYWTS2477","15"
"SVAAODCWTS125","VAA\070141","19","VSVAASRYWTS2636","15"
"SVAAODCWTS125","VAA\071196","20","DCZC1415MRB","15"
"SVAAODCWTS125","VAA\071131","1","VSVAASRYWTS2608","15"
